,Shrt_Desc,Water_(g),Protein_(g),Lipid_Tot_(g),Ash_(g),Carbohydrt_(g),Fiber_TD_(g),Sugar_Tot_(g),Copper_mg),Panto_Acid_mg),Vit_A_IU,Vit_A_RAE,Vit_D_µg,Vit_D_IU,FA_Sat_(g),FA_Mono_(g),FA_Poly_(g),Calcium_(g),Iron_(g),Magnesium_(g),Phosphorus_(g),Potassium_(g),Sodium_(g),Zinc_(g),Manganese_(g),Selenium_(g),Vit_C_(g),Thiamin_(g),Riboflavin_(g),Niacin_(g),Vit_B6_(g),Folate_Tot_(g),Folic_Acid_(g),Food_Folate_(g),Folate_DFE_(g),Choline_Tot_ (g),Vit_B12_(g),Retinol_(g),Alpha_Carot_(g),Beta_Carot_(g),Beta_Crypt_(g),Lycopene_(g),Lut+Zea_ (g),Vit_E_(g),Vit_K_(g),Cholestrl_(g),GmWt_1,GmWt_Desc1,GmWt_2,GmWt_Desc2,Refuse_Pct,Energ_Kcal
11,"COOKIES,CHOC CHIP,COMMLY PREP,REG,HIGHER FAT,UNENR",4.1,5.4,22.6,1.1,66.8,2.5,,0.212,0.229,4.0,0.0,,,7.476,11.671,2.367,0.025,0.001,0.031,0.108,0.135,0.315,0.00064,0.000449,,0.0,5.9e-05,5.9999999999999995e-05,0.00047299999999999995,5.6e-05,9e-05,0.0,9e-05,9e-05,,1e-07,0.0,,,,,,,,0.0,28.0,1 oz,10.0,"1 cookie,  medium (2-1/4"" dia)",0.0,481
12,"GAME MEAT,ELK,CKD,RSTD",66.28,30.19,1.9,1.32,0.0,0.0,,0.142,,0.0,,,,0.7,0.48,0.4,0.005,0.00363,0.024,0.18,0.328,0.061,0.00316,1.3e-05,0.00013,0.0,,,,,9e-05,0.0,9e-05,9e-05,,,,,,,,,,,0.073,85.0,3 oz,340.0,"1 piece, cooked (yield from 1 lb raw meat, boneless)",0.0,146
13,"CANDIES,MOUNDS CANDY BAR",9.05,4.6,26.6,0.87,58.59,3.7,46.19,0.4,0.245,0.0,0.0,0.0,0.0,20.58,0.39,0.14,0.021,0.00209,0.055,0.091,0.321,0.145,0.0011,0.000948,6.599999999999999e-05,0.0004,4.9000000000000005e-05,5.8e-05,0.000277,8.999999999999999e-05,6e-05,0.0,6e-05,6e-05,0.011800000000000001,0.0,0.0,0.0,0.0,0.0,0.0,5e-05,0.00019,1.6e-05,0.002,19.0,"1 bar, snack size",53.0,"1 package, 1.9 oz",0.0,486
14,"HAZELNUTS OR FILBERTS,DRY RSTD,WO/SALT",2.52,15.03,62.4,2.45,17.6,9.4,4.89,1.75,0.923,61.0,3.0,0.0,0.0,4.511,46.608,8.463,0.123,0.00438,0.173,0.31,0.755,0.0,0.0025,0.00555,4.0999999999999994e-05,0.0038,0.00033800000000000003,0.000123,0.0020499999999999997,0.00062,0.00088,0.0,0.00088,0.00088,,0.0,0.0,1e-05,0.00036,,,,0.01528,,0.0,28.0,1 oz,,,0.0,646
15,"SNACKS,FRITOLAY,SUNCHIPS,MULTIGRAIN SNACK,ORIGINAL FLAVOR",2.04,7.95,21.11,1.63,67.26,8.8,7.2,0.227,0.9,65.0,3.0,0.0,0.0,2.166,11.501,6.513,0.02,0.00174,0.076,0.222,0.232,0.423,0.00165,0.00131,0.000122,0.0,0.00014000000000000001,2e-05,0.0021000000000000003,0.0002,0.00025,8e-05,0.00017,0.00031,0.0148,0.0,0.0,0.00019,0.00029,0.0,0.0,0.00441,0.00704,2.4e-05,0.0,28.0,1 oz,,,0.0,491
16,"BEEF,NZ,IMP,CUBE ROLL,LN & FAT,CKD,FAST RSTD",52.86,27.79,19.45,1.0,0.03,0.0,0.0,0.069,0.405,37.0,11.0,0.4,15.0,7.012,6.037,0.491,0.006,0.0022,0.022,0.195,0.338,0.049,0.00456,4e-06,6.2e-05,0.0,6.6e-05,0.00013700000000000002,0.0038889999999999997,0.00028100000000000005,,,,,,1.3000000000000001e-05,0.00011,0.0,0.0,0.0,0.0,0.0,0.00035999999999999997,,0.091,85.0,3 oz,,,0.0,286
17,"POPEYES,FRIED CHICK,MILD,WING,MEAT ONLY,SKN & BRDING REMOVED",55.85,28.94,9.42,2.89,2.9,,,0.093,1.35,35.0,10.0,,,3.079,4.024,1.391,0.038,0.00092,0.026,0.188,0.314,0.814,0.00202,4.1e-05,0.000427,,9.800000000000001e-05,0.000297,0.008127,0.0003,,,,,0.1412,7.5e-06,0.0001,,,,,,0.00039,,0.156,16.0,"1 wing, without skin, bone and breading",,,72.0,212
18,"BEEF,RND,TIP RND,RST,LN,0"" FAT,SEL,CKD,RSTD",67.88,27.37,4.38,1.16,0.0,0.0,0.0,0.077,0.679,0.0,0.0,,,1.563,1.794,0.161,0.006,0.00226,0.018,0.177,0.23,0.036,0.00475,1e-05,0.00034399999999999996,0.0,6.6e-05,0.000148,0.004707,0.000361,9e-05,0.0,9e-05,9e-05,0.1042,1.4099999999999999e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.00034,1.2e-05,0.071,85.0,3 oz,1141.0,"1 roast,  (yield from 1388 g raw meat)",9.0,149
19,"FROSTINGS,COCONUT-NUT,RTE",21.0,1.5,24.0,0.8,52.7,2.5,40.0,0.125,0.155,4.0,0.0,0.0,0.0,8.631,10.786,3.264,0.013,0.00054,0.019,0.063,0.186,0.16,0.00041,0.0006730000000000001,2.5e-05,0.0002,3.5000000000000004e-05,1.9e-05,0.000212,4.7e-05,2e-05,0.0,2e-05,2e-05,0.0072,0.0,0.0,0.0,2e-05,1e-05,0.0,1e-05,0.00109,3.9e-05,0.0,38.0,.083 package,35.0,2 tbsp,0.0,433
20,"FST FOODS, POTATO, FRNCH FRIED IN VEG OIL",38.55,3.43,14.73,1.85,41.44,3.8,0.3,0.124,0.58,0.0,0.0,0.0,0.0,2.336,5.969,5.398,0.018,0.0008100000000000001,0.035,0.125,0.579,0.21,0.0005,0.000247,9e-06,0.0047,0.00017,3.9e-05,0.003004,0.000372,0.0003,0.0,0.0003,0.0003,0.0368,0.0,0.0,0.0,0.0,0.0,0.0,0.00027,0.0016699999999999998,0.000112,0.0,71.0,"1 serving, small",117.0,"1 serving, medium",0.0,312
21,"COOKIES,GRAHAM CRACKERS,CHOCOLATE-COATED",2.0,4.0,25.8,1.42,66.78,2.2,37.3,0.194,0.377,8.0,2.0,0.0,1.0,17.2,2.7,4.9,0.046,0.002,0.016,0.087,0.267,0.265,0.0002,0.000464,0.000111,0.0001,0.00027,0.00015,0.0017,6.4e-05,0.0005,0.00038,0.00012,0.00077,0.0223,1e-06,2e-05,0.0,0.0,0.0,0.0,0.00013,0.00099,6.4e-05,0.001,27.0,3 pieces,28.35,1 oz,0.0,500
22,"OCTOPUS,COMMON,CKD,MOIST HEAT",60.5,29.82,2.08,3.2,4.4,0.0,0.0,0.739,0.9,300.0,90.0,0.0,0.0,0.453,0.324,0.477,0.106,0.00954,0.06,0.279,0.63,0.46,0.0033599999999999997,4.7e-05,0.000896,0.008,5.7e-05,7.6e-05,0.00378,0.000648,0.00024,0.0,0.00024,0.00024,0.081,0.00036,0.0009,0.0,0.0,0.0,0.0,0.0,0.0012,1e-06,0.096,85.0,3 oz,,,0.0,164
23,"TOFU,SALTED&FERMENTED (FUYU),PREP W/CA SULFATE",70.01,8.15,8.0,8.69,5.15,,,0.376,0.132,0.0,0.0,0.0,0.0,1.157,1.767,4.516,1.229,0.00198,0.058,0.073,0.075,2.873,0.00156,0.001174,0.000173,0.0002,0.000157,0.000101,0.000379,9.1e-05,0.00029,0.0,0.00029,0.00029,,0.0,0.0,,,,,,,,0.0,11.0,1 block,,,0.0,116
24,"ALCOHOLIC BEV,WINE,TABLE,WHITE,PINOT BLANC",87.14,0.07,0.0,0.24,1.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.0,1 fl oz,147.0,"1 serving,  5 fl oz",0.0,81
25,"CAMPBELL'S SOUP ON THE GO,NEW ENGLAND CLAM CHOWDER",91.0,0.66,3.61,0.86,4.26,1.0,0.66,,,0.0,,,,0.984,,,0.007,0.00023999999999999998,,,,0.292,,,,0.0,,,,,,,,,,,,,,,,,,,0.002,305.0,1 container,,,0.0,52
26,"QUAIL,COOKED,TOTAL EDIBLE",60.0,25.1,14.1,0.8,0.0,0.0,0.0,0.592,,234.0,70.0,0.2,8.0,3.955,4.891,3.487,0.015,0.00443,0.022,0.279,0.216,0.052,0.0031,,0.000218,0.0023,0.00022,0.0003,0.00792,0.00062,6e-05,0.0,6e-05,6e-05,0.0659,3.6e-06,0.0007,0.0,0.0,0.0,0.0,0.0,0.0007,4.2000000000000004e-05,0.086,28.0,1 oz,453.0,1 lb,0.0,227
27,"POTATOES,FRENCH FR,WEDGE CUT,FRZ,UNPREP",66.06,2.56,7.47,1.69,22.22,2.4,0.34,,,0.0,,,,1.843,,,0.014,0.0007199999999999999,,,0.381,0.38,,,,0.0050999999999999995,,,,,,,,,,,,,,,,,,,0.0,85.0,3 oz,,,0.0,166
28,"SNACKS,YUCCA (CASSAVA) CHIPS,SALTED",2.8,1.34,25.91,2.7,69.23,3.7,3.36,0.115,0.89,,,,,8.689,7.443,6.912,0.052,0.0007199999999999999,0.046,0.099,0.868,0.296,0.00085,0.00028199999999999997,4.9000000000000005e-05,,5e-05,2.7e-05,0.0011970000000000001,0.00013000000000000002,,,,,,,,,,,,,0.00278,5.3e-05,,28.0,1 oz,17.0,10 chips,0.0,515
29,"CAMPBELL'S CHUNKY SOUPS,MANHATTAN CLAM CHOWDER",87.9,2.04,1.43,0.88,7.76,1.2,1.63,,,1633.0,,,,0.408,,,0.016,0.00044,,,,0.339,,,,0.0,,,,,,,,,,,,,,,,,,,0.002,245.0,1 cup,,,0.0,52
30,"SOUP,TOMATO,LO NA,W/H2O",91.38,0.79,0.28,0.99,6.57,0.6,3.97,0.083,,192.0,10.0,0.0,0.0,0.076,0.088,0.093,0.008,0.00054,0.007,0.014,0.112,0.033,0.00011999999999999999,5.8e-05,2.5e-05,0.0063,1.9e-05,3.1e-05,0.000505,4.2000000000000004e-05,0.0,0.0,0.0,0.0,0.0063,0.0,0.0,0.0,0.00115,0.0,0.05345,0.00044,0.00017,1.5e-05,0.0,248.0,"1 serving, 1 cup",31.0,1 fl oz,0.0,30
31,"LEEKS,(BULB&LOWER-LEAF PORTION),FREEZE-DRIED",2.0,15.2,2.1,6.05,74.65,10.4,,0.657,0.767,277.0,14.0,0.0,0.0,0.279,0.029,1.161,0.36,0.0076,0.161,0.346,2.4,0.035,0.00066,0.002634,5.7e-05,0.118,0.0008,0.0004,0.0035,0.001209,0.00366,0.0,0.00366,0.00366,,0.0,0.0,,,,,,,,0.0,0.0,1 tbsp,0.8,.25 cup,0.0,321
32,"GRAVY,INST BF,DRY",4.65,9.8,9.48,14.97,61.1,4.3,23.9,0.146,1.218,8.0,2.0,0.0,0.0,4.88,3.659,0.938,0.141,0.0062699999999999995,0.041,0.239,0.45,5.203,0.00076,0.000154,0.00018,0.0009,0.000187,0.000514,0.001075,0.00013800000000000002,0.00034,0.0002,0.00015,0.00048,0.047799999999999995,6.2e-06,2e-05,0.0,0.0,0.0,0.0,2e-05,1e-05,4e-06,0.011,6.0,1 serving,454.0,"1 package,  (16 oz)",0.0,369
33,"PEANUTS,VALENCIA,OIL-ROASTED,W/SALT",2.12,27.04,51.24,3.29,16.3,8.9,,0.838,1.387,0.0,0.0,0.0,0.0,7.894,23.065,17.772,0.054,0.00165,0.16,0.319,0.612,0.772,0.0030800000000000003,0.001721,7.5e-05,0.0,8.999999999999999e-05,0.000153,0.014338,0.000243,0.00126,0.0,0.00126,0.00126,,0.0,0.0,,,,,,,,0.0,144.0,1 cup,28.35,1 oz,0.0,589
34,"CEREALS,QUAKER,INST GRITS,BUTTER FLAVOR,DRY",6.59,8.12,5.64,4.81,74.83,4.7,0.88,,,672.0,,,,2.58,0.94,0.49,0.413,0.03,0.023,0.115,0.121,1.197,0.00066,,,0.0,0.0008,0.00069,0.00845,0.00013000000000000002,0.00171,,,,,0.0,,,,,,,0.00019,,0.0,28.0,"1 packet,  (1 NLEA serving)",,,0.0,369
35,"BEVERAGES,ALMOND MILK,SWTND,VANILLA FLAVOR,RTD",91.8,0.42,1.04,0.32,6.59,0.4,6.25,0.017,0.009,208.0,63.0,1.0,42.0,0.0,0.625,0.208,0.188,0.0003,0.007,0.008,0.05,0.063,0.00063,3.3e-05,1e-06,0.0,1.4999999999999999e-05,0.000177,7.5e-05,3e-06,1e-05,0.0,1e-05,1e-05,0.001,1.25e-05,0.00063,0.0,0.0,0.0,0.0,0.0,0.00281,0.0,0.0,240.0,8 fl oz,240.0,1 cup,0.0,38
36,"OIL,INDUSTRIAL,SOY,LO LINOLENIC",0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,15.084,21.438,58.932,0.0,5e-05,0.0,0.0,0.0,0.0,1e-05,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00818,0.0018390000000000001,0.0,14.0,1 tablespoon,218.0,1 cup,0.0,900
37,"BEEF,CARCASS,LN&FAT,SEL,RAW",58.21,17.48,22.55,0.82,0.0,0.0,,0.069,0.32,0.0,,,,9.16,9.82,0.86,0.008,0.00185,0.017,0.156,0.271,0.059,0.00359,1.3e-05,0.00015900000000000002,0.0,8e-05,0.00017,0.00354,0.00033,7e-05,0.0,7e-05,7e-05,,2.69e-05,,,,,,,,,0.074,28.0,1 oz,453.6,1 lb,20.0,278
38,"WENDY'S,ULTIMATE CHICK GRILL SNDWCH",59.67,14.73,5.0,1.72,18.88,1.1,,0.075,,,,,,1.03,1.46,1.81,0.025,0.00155,0.024,0.168,0.221,0.427,0.00057,0.00019600000000000002,0.000313,0.0011,0.00039200000000000004,0.00026000000000000003,0.0041600000000000005,0.00014099999999999998,,,,,,3.3e-06,,,,,,,,8.900000000000001e-05,0.04,225.0,1 item,,,0.0,179
39,"BF,RND,KNUCKLE,TIP CNTR,STK,LN & FAT,0"" FAT,ALL,CKD,GRLD",65.46,27.12,6.78,1.0,0.0,0.0,0.0,0.089,0.751,0.0,0.0,,,2.527,2.712,0.358,0.005,0.0025099999999999996,0.026,0.24,0.377,0.052,0.00684,1.1e-05,0.00039,0.0,5.9e-05,0.000217,0.005176999999999999,0.000496,0.0001,0.0,0.0001,0.0001,0.1043,3.23e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0002,2e-06,0.077,150.0,1 steak,,,0.0,177
40,"COFFEE,INST,REG,PREP W/H2O",99.09,0.1,0.0,0.17,0.34,0.0,0.0,0.011,0.001,0.0,0.0,,,0.002,0.0,0.002,0.004,4e-05,0.004,0.003,0.03,0.004,1e-05,1.4999999999999999e-05,1e-06,0.0,0.0,1e-06,0.000236,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,1 fl oz,179.0,"1 serving, 6 fl oz",0.0,2
41,"GROUND TURKEY,FAT FREE,RAW",74.66,23.57,1.95,1.15,0.0,0.0,0.0,0.058,0.88,25.0,7.0,0.4,14.0,0.487,0.512,0.594,0.003,0.0007700000000000001,0.029,0.227,0.295,0.051,0.00176,6e-06,0.000221,0.0,6.2e-05,0.00010499999999999999,0.009708,0.000857,8e-05,0.0,8e-05,8e-05,0.0479,5.1e-06,7e-05,0.0,0.0,0.0,0.0,0.0,7.000000000000001e-05,0.0,0.055,85.0,"1 patty,  (cooked from 4 oz raw)",28.35,1 oz,0.0,112
42,"KFC,CRISPY CHICK STRIPS",47.93,20.25,15.42,2.74,13.66,1.4,0.0,0.074,1.3,,,,,2.887,4.308,6.881,0.025,0.00069,0.033,0.298,0.333,0.948,0.00068,0.000258,0.000181,,8.3e-05,5.1e-05,0.008562,0.000474,,,,,,1.7e-06,,,,,,,0.0009,9.400000000000001e-05,0.051,47.0,1 strip,,,0.0,274
43,"LIMA BNS,LRG,MATURE SEEDS,RAW",10.17,21.46,0.69,4.3,63.38,19.0,8.5,0.74,1.355,0.0,0.0,0.0,0.0,0.161,0.062,0.309,0.081,0.00751,0.224,0.385,1.724,0.018,0.00283,0.0016719999999999999,7.2e-05,0.0,0.000507,0.000202,0.001537,0.000512,0.00395,0.0,0.00395,0.00395,0.09670000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0007199999999999999,6e-05,0.0,178.0,1 cup,11.1,1 tbsp,0.0,338
44,"MUFFINS,BLUEBERRY,DRY MIX",30.18,3.48,3.25,2.09,61.0,1.4,32.73,0.088,0.553,18.0,1.0,,,1.161,0.696,1.307,0.018,0.0016200000000000001,0.013,0.22,0.048,0.479,0.00033,0.00027600000000000004,3.1e-05,0.0023,0.000232,0.000232,0.001857,8.2e-05,0.00053,,,,,0.0,0.0,,,,,,,,0.0,43.0,1 serving,356.0,"1 package,  mix + drained berries",0.0,293
45,"FISH,HERRING EGGS,PACIFIC,PLN (ALASKA NATIVE)",81.2,9.6,1.93,2.8,4.47,,,,,57.0,,,,0.43,0.42,0.71,0.019,0.0027,,,,0.061,,,,0.0006,0.0001,0.00011999999999999999,0.0018,,,,,,,,,,,,,,,,0.04,,,,,0.0,74
46,"MARGARINE-LIKE SPRD,SMART BEAT SUPER LT WO/ SATURATED FAT",80.83,0.0,17.1,1.91,0.0,0.0,0.0,,,4489.0,,,,2.22,7.6,3.98,,,,0.0,0.012,0.755,,,,,,,,,,,,,,,,,,,,,0.0017,0.000123,0.0,14.0,1 tablespoon,,,0.0,158
47,"BEEF,CHUCK,TOP BLADE,LN,0"" FAT,SEL,CKD,BRLD",64.32,26.16,8.0,1.21,0.0,0.0,0.0,0.112,,0.0,0.0,,,2.71,3.33,0.31,0.007,0.0028,0.024,0.217,0.304,0.068,0.008919999999999999,,0.0002,0.0,0.00014099999999999998,0.000228,0.0040490000000000005,0.00047799999999999996,9e-05,0.0,9e-05,9e-05,0.0996,3.78e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.00016,,0.094,85.0,"3 oz,  ( 1 serving )",,,19.0,184
48,"APPLESAUCE,CND,UNSWTND,WO/ADDED VIT C (INCLUDES USDA COMMOD)",88.22,0.17,0.1,0.24,11.27,1.1,9.39,0.027,0.041,29.0,1.0,0.0,0.0,0.008,0.002,0.014,0.004,0.00023,0.003,0.005,0.074,0.002,2.9999999999999997e-05,2.5e-05,3e-06,0.001,2.6e-05,2.9999999999999997e-05,8.400000000000001e-05,2.7e-05,3e-05,0.0,3e-05,3e-05,0.0022,0.0,0.0,0.0,0.00013,9e-05,0.0,0.00018,0.00016,5e-06,0.0,244.0,1 cup,,,0.0,42
49,"CHICKEN,CAPONS,MEAT&SKN&GIBLETS&NECK,CKD,RSTD",59.25,28.35,11.67,1.01,0.04,0.0,,0.081,1.184,734.0,220.0,,,3.28,4.71,2.52,0.015,0.0017900000000000001,0.023,0.239,0.243,0.05,0.0019399999999999999,3.1e-05,0.000193,0.0004,7.000000000000001e-05,0.000219,0.008414999999999999,0.00041,0.00026,0.0,0.00026,0.00026,,3.6e-06,0.0022,,,,,,,,0.103,85.0,3 oz,1418.0,1 capon,28.0,226
50,"BEEF,LOIN,TENDERLOIN RST,BNLESS,LN & FAT,0"" FAT,SEL,RAW",72.17,21.91,6.21,1.09,0.0,0.0,0.0,0.067,0.376,12.0,4.0,0.1,2.0,2.166,2.302,0.414,0.014,0.00246,0.012,0.219,0.294,0.042,0.00332,8e-06,0.000212,0.0,5.6e-05,0.00032900000000000003,0.005072,0.000614,4e-05,0.0,4e-05,4e-05,0.0586,3.67e-05,4e-05,0.0,0.0,0.0,0.0,0.0,0.00017999999999999998,1.5e-05,0.062,85.0,3 oz,673.0,1 roast,2.0,144
51,"CHEESE,SWISS,NONFAT OR FAT FREE",63.6,28.4,0.0,4.5,3.4,0.0,1.33,0.027,,152.0,40.0,0.1,4.0,0.0,0.0,0.0,0.961,0.00017,0.036,0.605,0.111,1.0,0.0039,,0.000127,0.0,2e-05,0.00035999999999999997,8.999999999999999e-05,8e-05,6e-05,0.0,6e-05,6e-05,0.0154,1.68e-05,0.00039,0.0,0.00013,0.0,0.0,0.0,7.000000000000001e-05,5e-06,0.018,28.0,1 serving,,,0.0,127
52,CHICKEN SPRD,57.41,18.01,17.56,2.97,4.05,0.3,0.47,0.04,0.43,99.0,30.0,,,3.23,4.8,2.35,0.016,0.00087,0.012,0.089,0.106,0.722,0.00115,1.2e-05,0.00010800000000000001,0.0,8.999999999999999e-06,0.000114,0.002748,0.00015,3e-05,0.0,3e-05,3e-05,,1.3e-06,0.0003,0.0,0.0,0.0,0.0,0.0,,,0.056,56.0,"1 serving,  (1 serving)",,,0.0,158
53,"PUDDINGS,LEMON,DRY MIX,REG,W/ ADDED OIL,K,NA",5.2,0.1,1.5,2.4,90.3,0.1,,0.024,0.03,0.0,0.0,,,0.27,0.44,0.72,,0.00017,0.004,0.003,0.257,0.849,2e-05,2.5e-05,7e-06,0.0,5e-06,2.4e-05,1.9e-05,5e-06,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,,,,0.0,85.0,"1 package,  (3 oz)",21.0,"1 portion,  amount to make 1/2 cup",0.0,366
