Shrt_Desc,Water_(g),Protein_(g),Lipid_Tot_(g),Ash_(g),Carbohydrt_(g),Fiber_TD_(g),Sugar_Tot_(g),FA_Sat_(g),FA_Mono_(g),FA_Poly_(g),Vit_A(g),Calcium_(g),Iron_(g),Magnesium_(g),Phosphorus_(g),Potassium_(g),Sodium_(g),Zinc_(g),Copper_g),Manganese_(g),Selenium_(g),Vit_C_(g),Thiamin_(g),Riboflavin_(g),Niacin_(g),Panto_Acid_g),Vit_B6_(g),Folate_Tot_(g),Folic_Acid_(g),Food_Folate_(g),Choline_Tot_ (g),Vit_B12_(g),Retinol_(g),Alpha_Carot_(g),Beta_Carot_(g),Beta_Crypt_(g),Lycopene_(g),Lut+Zea_ (g),Vit_E_(g),Vit_D_g,Vit_K_(g),Cholestrl_(g),Energ_Kcal
"KASHI,H2H WOVEN WHEAT CRACKER,RSTD GARLIC",3.0,10.5,11.7,1.6,73.2,12.2,0.6,1.1,6.1,4.6,0.0075,0.053,0.006,0.087,0.38,0.436,0.24,0.0033,,,,0.02,,,,,0.0017,0.00333,,,,5e-05,,,,,,,0.025,0.0,,0.0,440
"COOKIES,CHOC CHIP,COMMLY PREP,REG,HIGHER FAT,UNENR",4.1,5.4,22.6,1.1,66.8,2.5,,7.476,11.671,2.367,1.2e-05,0.025,0.001,0.031,0.108,0.135,0.315,0.00064,0.000212,0.000449,,0.0,5.9e-05,5.9999999999999995e-05,0.00047299999999999995,0.000229,5.6e-05,9e-05,0.0,9e-05,,1e-07,0.0,,,,,,,,,0.0,481
"GAME MEAT,ELK,CKD,RSTD",66.28,30.19,1.9,1.32,0.0,0.0,,0.7,0.48,0.4,0.0,0.005,0.00363,0.024,0.18,0.328,0.061,0.00316,0.00014199999999999998,1.3e-05,0.00013,0.0,,,,,,9e-05,0.0,9e-05,,,,,,,,,,,,0.073,146
"CANDIES,MOUNDS CANDY BAR",9.05,4.6,26.6,0.87,58.59,3.7,46.19,20.58,0.39,0.14,0.0,0.021,0.00209,0.055,0.091,0.321,0.145,0.0011,0.0004,0.000948,6.599999999999999e-05,0.0004,4.9000000000000005e-05,5.8e-05,0.000277,0.000245,8.999999999999999e-05,6e-05,0.0,6e-05,0.011800000000000001,0.0,0.0,0.0,0.0,0.0,0.0,5e-05,0.00019,0.0,1.6e-05,0.002,486
"HAZELNUTS OR FILBERTS,DRY RSTD,WO/SALT",2.52,15.03,62.4,2.45,17.6,9.4,4.89,4.511,46.608,8.463,0.000183,0.123,0.00438,0.173,0.31,0.755,0.0,0.0025,0.00175,0.00555,4.0999999999999994e-05,0.0038,0.00033800000000000003,0.000123,0.0020499999999999997,0.000923,0.00062,0.00088,0.0,0.00088,,0.0,0.0,1e-05,0.00036,,,,0.01528,0.0,,0.0,646
"SNACKS,FRITOLAY,SUNCHIPS,MULTIGRAIN SNACK,ORIGINAL FLAVOR",2.04,7.95,21.11,1.63,67.26,8.8,7.2,2.166,11.501,6.513,0.000195,0.02,0.00174,0.076,0.222,0.232,0.423,0.00165,0.00022700000000000002,0.00131,0.000122,0.0,0.00014000000000000001,2e-05,0.0021000000000000003,0.0009,0.0002,0.00025,8e-05,0.00017,0.0148,0.0,0.0,0.00019,0.00029,0.0,0.0,0.00441,0.00704,0.0,2.4e-05,0.0,491
"BEEF,NZ,IMP,CUBE ROLL,LN & FAT,CKD,FAST RSTD",52.86,27.79,19.45,1.0,0.03,0.0,0.0,7.012,6.037,0.491,0.000111,0.006,0.0022,0.022,0.195,0.338,0.049,0.00456,6.900000000000001e-05,4e-06,6.2e-05,0.0,6.6e-05,0.00013700000000000002,0.0038889999999999997,0.00040500000000000003,0.00028100000000000005,,,,,1.3000000000000001e-05,0.00011,0.0,0.0,0.0,0.0,0.0,0.00035999999999999997,4e-06,,0.091,286
"POPEYES,FRIED CHICK,MILD,WING,MEAT ONLY,SKN & BRDING REMOVED",55.85,28.94,9.42,2.89,2.9,,,3.079,4.024,1.391,0.000105,0.038,0.00092,0.026,0.188,0.314,0.814,0.00202,9.3e-05,4.1e-05,0.000427,,9.800000000000001e-05,0.000297,0.008127,0.00135,0.0003,,,,0.1412,7.5e-06,0.0001,,,,,,0.00039,,,0.156,212
"BEEF,RND,TIP RND,RST,LN,0"" FAT,SEL,CKD,RSTD",67.88,27.37,4.38,1.16,0.0,0.0,0.0,1.563,1.794,0.161,0.0,0.006,0.00226,0.018,0.177,0.23,0.036,0.00475,7.7e-05,1e-05,0.00034399999999999996,0.0,6.6e-05,0.000148,0.004707,0.000679,0.000361,9e-05,0.0,9e-05,0.1042,1.4099999999999999e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.00034,,1.2e-05,0.071,149
"FROSTINGS,COCONUT-NUT,RTE",21.0,1.5,24.0,0.8,52.7,2.5,40.0,8.631,10.786,3.264,1.2e-05,0.013,0.00054,0.019,0.063,0.186,0.16,0.00041,0.000125,0.0006730000000000001,2.5e-05,0.0002,3.5000000000000004e-05,1.9e-05,0.000212,0.000155,4.7e-05,2e-05,0.0,2e-05,0.0072,0.0,0.0,0.0,2e-05,1e-05,0.0,1e-05,0.00109,0.0,3.9e-05,0.0,433
"FST FOODS, POTATO, FRNCH FRIED IN VEG OIL",38.55,3.43,14.73,1.85,41.44,3.8,0.3,2.336,5.969,5.398,0.0,0.018,0.0008100000000000001,0.035,0.125,0.579,0.21,0.0005,0.000124,0.000247,9e-06,0.0047,0.00017,3.9e-05,0.003004,0.00058,0.000372,0.0003,0.0,0.0003,0.0368,0.0,0.0,0.0,0.0,0.0,0.0,0.00027,0.0016699999999999998,0.0,0.000112,0.0,312
"COOKIES,GRAHAM CRACKERS,CHOCOLATE-COATED",2.0,4.0,25.8,1.42,66.78,2.2,37.3,17.2,2.7,4.9,2.4e-05,0.046,0.002,0.016,0.087,0.267,0.265,0.0002,0.000194,0.000464,0.000111,0.0001,0.00027,0.00015,0.0017,0.000377,6.4e-05,0.0005,0.00038,0.00012,0.0223,1e-06,2e-05,0.0,0.0,0.0,0.0,0.00013,0.00099,0.0,6.4e-05,0.001,500
"OCTOPUS,COMMON,CKD,MOIST HEAT",60.5,29.82,2.08,3.2,4.4,0.0,0.0,0.453,0.324,0.477,0.0009,0.106,0.00954,0.06,0.279,0.63,0.46,0.0033599999999999997,0.000739,4.7e-05,0.000896,0.008,5.7e-05,7.6e-05,0.00378,0.0009,0.000648,0.00024,0.0,0.00024,0.081,0.00036,0.0009,0.0,0.0,0.0,0.0,0.0,0.0012,0.0,1e-06,0.096,164
"TOFU,SALTED&FERMENTED (FUYU),PREP W/CA SULFATE",70.01,8.15,8.0,8.69,5.15,,,1.157,1.767,4.516,0.0,1.229,0.00198,0.058,0.073,0.075,2.873,0.00156,0.000376,0.001174,0.000173,0.0002,0.000157,0.000101,0.000379,0.000132,9.1e-05,0.00029,0.0,0.00029,,0.0,0.0,,,,,,,0.0,,0.0,116
"ALCOHOLIC BEV,WINE,TABLE,WHITE,PINOT BLANC",87.14,0.07,0.0,0.24,1.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81
"CAMPBELL'S SOUP ON THE GO,NEW ENGLAND CLAM CHOWDER",91.0,0.66,3.61,0.86,4.26,1.0,0.66,0.984,,,0.0,0.007,0.00023999999999999998,,,,0.292,,,,,0.0,,,,,,,,,,,,,,,,,,,,0.002,52
"QUAIL,COOKED,TOTAL EDIBLE",60.0,25.1,14.1,0.8,0.0,0.0,0.0,3.955,4.891,3.487,0.000702,0.015,0.00443,0.022,0.279,0.216,0.052,0.0031,0.000592,,0.000218,0.0023,0.00022,0.0003,0.00792,,0.00062,6e-05,0.0,6e-05,0.0659,3.6e-06,0.0007,0.0,0.0,0.0,0.0,0.0,0.0007,2e-06,4.2000000000000004e-05,0.086,227
"POTATOES,FRENCH FR,WEDGE CUT,FRZ,UNPREP",66.06,2.56,7.47,1.69,22.22,2.4,0.34,1.843,,,0.0,0.014,0.0007199999999999999,,,0.381,0.38,,,,,0.0050999999999999995,,,,,,,,,,,,,,,,,,,,0.0,166
"SNACKS,YUCCA (CASSAVA) CHIPS,SALTED",2.8,1.34,25.91,2.7,69.23,3.7,3.36,8.689,7.443,6.912,,0.052,0.0007199999999999999,0.046,0.099,0.868,0.296,0.00085,0.000115,0.00028199999999999997,4.9000000000000005e-05,,5e-05,2.7e-05,0.0011970000000000001,0.0008900000000000001,0.00013000000000000002,,,,,,,,,,,,0.00278,,5.3e-05,,515
"CAMPBELL'S CHUNKY SOUPS,MANHATTAN CLAM CHOWDER",87.9,2.04,1.43,0.88,7.76,1.2,1.63,0.408,,,0.004899,0.016,0.00044,,,,0.339,,,,,0.0,,,,,,,,,,,,,,,,,,,,0.002,52
"SOUP,TOMATO,LO NA,W/H2O",91.38,0.79,0.28,0.99,6.57,0.6,3.97,0.076,0.088,0.093,0.0005759999999999999,0.008,0.00054,0.007,0.014,0.112,0.033,0.00011999999999999999,8.3e-05,5.8e-05,2.5e-05,0.0063,1.9e-05,3.1e-05,0.000505,,4.2000000000000004e-05,0.0,0.0,0.0,0.0063,0.0,0.0,0.0,0.00115,0.0,0.05345,0.00044,0.00017,0.0,1.5e-05,0.0,30
"LEEKS,(BULB&LOWER-LEAF PORTION),FREEZE-DRIED",2.0,15.2,2.1,6.05,74.65,10.4,,0.279,0.029,1.161,0.0008309999999999999,0.36,0.0076,0.161,0.346,2.4,0.035,0.00066,0.000657,0.002634,5.7e-05,0.118,0.0008,0.0004,0.0035,0.000767,0.001209,0.00366,0.0,0.00366,,0.0,0.0,,,,,,,0.0,,0.0,321
"GRAVY,INST BF,DRY",4.65,9.8,9.48,14.97,61.1,4.3,23.9,4.88,3.659,0.938,2.4e-05,0.141,0.0062699999999999995,0.041,0.239,0.45,5.203,0.00076,0.000146,0.000154,0.00018,0.0009,0.000187,0.000514,0.001075,0.001218,0.00013800000000000002,0.00034,0.0002,0.00015,0.047799999999999995,6.2e-06,2e-05,0.0,0.0,0.0,0.0,2e-05,1e-05,0.0,4e-06,0.011,369
"PEANUTS,VALENCIA,OIL-ROASTED,W/SALT",2.12,27.04,51.24,3.29,16.3,8.9,,7.894,23.065,17.772,0.0,0.054,0.00165,0.16,0.319,0.612,0.772,0.0030800000000000003,0.000838,0.001721,7.5e-05,0.0,8.999999999999999e-05,0.000153,0.014338,0.001387,0.000243,0.00126,0.0,0.00126,,0.0,0.0,,,,,,,0.0,,0.0,589
"CEREALS,QUAKER,INST GRITS,BUTTER FLAVOR,DRY",6.59,8.12,5.64,4.81,74.83,4.7,0.88,2.58,0.94,0.49,0.002016,0.413,0.03,0.023,0.115,0.121,1.197,0.00066,,,,0.0,0.0008,0.00069,0.00845,,0.00013000000000000002,0.00171,,,,0.0,,,,,,,0.00019,,,0.0,369
"BEVERAGES,ALMOND MILK,SWTND,VANILLA FLAVOR,RTD",91.8,0.42,1.04,0.32,6.59,0.4,6.25,0.0,0.625,0.208,0.000624,0.188,0.0003,0.007,0.008,0.05,0.063,0.00063,1.7e-05,3.3e-05,1e-06,0.0,1.4999999999999999e-05,0.000177,7.5e-05,8.999999999999999e-06,3e-06,1e-05,0.0,1e-05,0.001,1.25e-05,0.00063,0.0,0.0,0.0,0.0,0.0,0.00281,1e-05,0.0,0.0,38
"OIL,INDUSTRIAL,SOY,LO LINOLENIC",0.0,0.0,100.0,0.0,0.0,0.0,0.0,15.084,21.438,58.932,0.0,0.0,5e-05,0.0,0.0,0.0,0.0,1e-05,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00818,0.0,0.0018390000000000001,0.0,900
"BEEF,CARCASS,LN&FAT,SEL,RAW",58.21,17.48,22.55,0.82,0.0,0.0,,9.16,9.82,0.86,0.0,0.008,0.00185,0.017,0.156,0.271,0.059,0.00359,6.900000000000001e-05,1.3e-05,0.00015900000000000002,0.0,8e-05,0.00017,0.00354,0.00032,0.00033,7e-05,0.0,7e-05,,2.69e-05,,,,,,,,,,0.074,278
"WENDY'S,ULTIMATE CHICK GRILL SNDWCH",59.67,14.73,5.0,1.72,18.88,1.1,,1.03,1.46,1.81,,0.025,0.00155,0.024,0.168,0.221,0.427,0.00057,7.5e-05,0.00019600000000000002,0.000313,0.0011,0.00039200000000000004,0.00026000000000000003,0.0041600000000000005,,0.00014099999999999998,,,,,3.3e-06,,,,,,,,,8.900000000000001e-05,0.04,179
"BF,RND,KNUCKLE,TIP CNTR,STK,LN & FAT,0"" FAT,ALL,CKD,GRLD",65.46,27.12,6.78,1.0,0.0,0.0,0.0,2.527,2.712,0.358,0.0,0.005,0.0025099999999999996,0.026,0.24,0.377,0.052,0.00684,8.9e-05,1.1e-05,0.00039,0.0,5.9e-05,0.000217,0.005176999999999999,0.000751,0.000496,0.0001,0.0,0.0001,0.1043,3.23e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0002,,2e-06,0.077,177
"COFFEE,INST,REG,PREP W/H2O",99.09,0.1,0.0,0.17,0.34,0.0,0.0,0.002,0.0,0.002,0.0,0.004,4e-05,0.004,0.003,0.03,0.004,1e-05,1.1e-05,1.4999999999999999e-05,1e-06,0.0,0.0,1e-06,0.000236,1e-06,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,2
"GROUND TURKEY,FAT FREE,RAW",74.66,23.57,1.95,1.15,0.0,0.0,0.0,0.487,0.512,0.594,7.5e-05,0.003,0.0007700000000000001,0.029,0.227,0.295,0.051,0.00176,5.8e-05,6e-06,0.000221,0.0,6.2e-05,0.00010499999999999999,0.009708,0.00088,0.000857,8e-05,0.0,8e-05,0.0479,5.1e-06,7e-05,0.0,0.0,0.0,0.0,0.0,7.000000000000001e-05,4e-06,0.0,0.055,112
"KFC,CRISPY CHICK STRIPS",47.93,20.25,15.42,2.74,13.66,1.4,0.0,2.887,4.308,6.881,,0.025,0.00069,0.033,0.298,0.333,0.948,0.00068,7.4e-05,0.000258,0.000181,,8.3e-05,5.1e-05,0.008562,0.0013,0.000474,,,,,1.7e-06,,,,,,,0.0009,,9.400000000000001e-05,0.051,274
"LIMA BNS,LRG,MATURE SEEDS,RAW",10.17,21.46,0.69,4.3,63.38,19.0,8.5,0.161,0.062,0.309,0.0,0.081,0.00751,0.224,0.385,1.724,0.018,0.00283,0.00074,0.0016719999999999999,7.2e-05,0.0,0.000507,0.000202,0.001537,0.001355,0.000512,0.00395,0.0,0.00395,0.09670000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0007199999999999999,0.0,6e-05,0.0,338
"MUFFINS,BLUEBERRY,DRY MIX",30.18,3.48,3.25,2.09,61.0,1.4,32.73,1.161,0.696,1.307,5.4e-05,0.018,0.0016200000000000001,0.013,0.22,0.048,0.479,0.00033,8.8e-05,0.00027600000000000004,3.1e-05,0.0023,0.000232,0.000232,0.001857,0.000553,8.2e-05,0.00053,,,,0.0,0.0,,,,,,,,,0.0,293
"FISH,HERRING EGGS,PACIFIC,PLN (ALASKA NATIVE)",81.2,9.6,1.93,2.8,4.47,,,0.43,0.42,0.71,0.00017099999999999998,0.019,0.0027,,,,0.061,,,,,0.0006,0.0001,0.00011999999999999999,0.0018,,,,,,,,,,,,,,,,,0.04,74
"MARGARINE-LIKE SPRD,SMART BEAT SUPER LT WO/ SATURATED FAT",80.83,0.0,17.1,1.91,0.0,0.0,0.0,2.22,7.6,3.98,0.013467,,,,0.0,0.012,0.755,,,,,,,,,,,,,,,,,,,,,,0.0017,,0.000123,0.0,158
"BEEF,CHUCK,TOP BLADE,LN,0"" FAT,SEL,CKD,BRLD",64.32,26.16,8.0,1.21,0.0,0.0,0.0,2.71,3.33,0.31,0.0,0.007,0.0028,0.024,0.217,0.304,0.068,0.008919999999999999,0.000112,,0.0002,0.0,0.00014099999999999998,0.000228,0.0040490000000000005,,0.00047799999999999996,9e-05,0.0,9e-05,0.0996,3.78e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.00016,,,0.094,184
"APPLESAUCE,CND,UNSWTND,WO/ADDED VIT C (INCLUDES USDA COMMOD)",88.22,0.17,0.1,0.24,11.27,1.1,9.39,0.008,0.002,0.014,8.699999999999999e-05,0.004,0.00023,0.003,0.005,0.074,0.002,2.9999999999999997e-05,2.7e-05,2.5e-05,3e-06,0.001,2.6e-05,2.9999999999999997e-05,8.400000000000001e-05,4.1e-05,2.7e-05,3e-05,0.0,3e-05,0.0022,0.0,0.0,0.0,0.00013,9e-05,0.0,0.00018,0.00016,0.0,5e-06,0.0,42
"CHICKEN,CAPONS,MEAT&SKN&GIBLETS&NECK,CKD,RSTD",59.25,28.35,11.67,1.01,0.04,0.0,,3.28,4.71,2.52,0.002202,0.015,0.0017900000000000001,0.023,0.239,0.243,0.05,0.0019399999999999999,8.1e-05,3.1e-05,0.000193,0.0004,7.000000000000001e-05,0.000219,0.008414999999999999,0.001184,0.00041,0.00026,0.0,0.00026,,3.6e-06,0.0022,,,,,,,,,0.103,226
"BEEF,LOIN,TENDERLOIN RST,BNLESS,LN & FAT,0"" FAT,SEL,RAW",72.17,21.91,6.21,1.09,0.0,0.0,0.0,2.166,2.302,0.414,3.5999999999999994e-05,0.014,0.00246,0.012,0.219,0.294,0.042,0.00332,6.7e-05,8e-06,0.000212,0.0,5.6e-05,0.00032900000000000003,0.005072,0.000376,0.000614,4e-05,0.0,4e-05,0.0586,3.67e-05,4e-05,0.0,0.0,0.0,0.0,0.0,0.00017999999999999998,1e-06,1.5e-05,0.062,144
"CHEESE,SWISS,NONFAT OR FAT FREE",63.6,28.4,0.0,4.5,3.4,0.0,1.33,0.0,0.0,0.0,0.000456,0.961,0.00017,0.036,0.605,0.111,1.0,0.0039,2.7e-05,,0.000127,0.0,2e-05,0.00035999999999999997,8.999999999999999e-05,,8e-05,6e-05,0.0,6e-05,0.0154,1.68e-05,0.00039,0.0,0.00013,0.0,0.0,0.0,7.000000000000001e-05,1e-06,5e-06,0.018,127
CHICKEN SPRD,57.41,18.01,17.56,2.97,4.05,0.3,0.47,3.23,4.8,2.35,0.000297,0.016,0.00087,0.012,0.089,0.106,0.722,0.00115,4e-05,1.2e-05,0.00010800000000000001,0.0,8.999999999999999e-06,0.000114,0.002748,0.00043,0.00015,3e-05,0.0,3e-05,,1.3e-06,0.0003,0.0,0.0,0.0,0.0,0.0,,,,0.056,158
"PUDDINGS,LEMON,DRY MIX,REG,W/ ADDED OIL,K,NA",5.2,0.1,1.5,2.4,90.3,0.1,,0.27,0.44,0.72,0.0,,0.00017,0.004,0.003,0.257,0.849,2e-05,2.4e-05,2.5e-05,7e-06,0.0,5e-06,2.4e-05,1.9e-05,2.9999999999999997e-05,5e-06,0.0,0.0,0.0,,0.0,0.0,,,,,,,,,0.0,366
"COOKIES,CHOC CHIP,DRY MIX",3.0,4.6,25.2,1.2,66.1,,,8.316,13.077,2.62,1.2e-05,0.043,0.00207,0.036,0.08,0.208,0.29,0.0006,0.0003,0.000363,2.4e-05,0.0,0.000195,0.000205,0.00199,0.000171,1.7e-05,0.00051,0.00045,6e-05,,0.0,0.0,,,,,,,,,0.0,497
"POMEGRANATE JUC,BTLD",85.95,0.15,0.29,0.49,13.13,0.1,12.65,0.077,0.059,0.05,0.0,0.011,0.0001,0.007,0.011,0.214,0.009,8.999999999999999e-05,2.1000000000000002e-05,9.5e-05,3e-06,0.0001,1.4999999999999999e-05,1.4999999999999999e-05,0.00023300000000000003,0.000285,4e-05,0.00024,0.0,0.00024,0.0048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00038,0.0,0.00010400000000000001,0.0,54
"MASHU ROOTS,RAW (ALASKA NATIVE)",67.8,5.8,2.4,1.4,22.6,,,,,,4.8e-05,,,,0.067,,,,,,,0.011,0.0001,7.000000000000001e-05,0.0013,,,,,,,,,,,,,,,,,,135
"MARGARINE-LIKE,VEG OIL SPRD,60% FAT,TUB,W/ SALT",37.58,0.17,59.81,1.59,0.86,0.0,0.0,12.086,19.348,26.477,0.010713,0.021,0.0,0.002,0.016,0.03,0.615,0.0,0.0,,0.0,0.0001,7e-06,2.6e-05,1.6e-05,1e-06,0.00375,1e-05,0.0,1e-05,0.010199999999999999,0.00010800000000000001,0.00768,0.0,0.0061,0.0,0.0,0.0,0.02112,0.0,0.001013,0.001,533
"KELLOGG'S,EGGO,NUTRI-GRAIN,WAFFLES,HONEY OAT",37.5,6.6,8.6,,44.1,3.8,10.5,2.0,2.2,3.7,0.004287,0.184,0.0064,0.026,0.286,0.139,0.544,0.0006,,,,,0.00043,0.00049,0.0057,,0.00057,0.00054,,,,1.7e-05,,,,,,,0.0,0.0,,0.0,268
"BEEF,FLANK,STEAK,LN & FAT,0"" FAT,ALL GRDS,CKD,BRLD",64.17,27.66,8.23,1.09,0.0,0.0,0.0,3.395,3.317,0.322,0.0,0.02,0.00174,0.023,0.21,0.339,0.056,0.004900000000000001,8.2e-05,8.999999999999999e-06,0.000294,0.0,7.5e-05,0.000133,0.007363000000000001,0.000545,0.000579,9e-05,0.0,9e-05,0.10540000000000001,1.63e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.00038,,1.4e-05,0.079,192
"OIL,INDUSTRIAL,PALM KERNEL (HYDROGENATED),CONFECTION FAT",0.05,0.0,100.0,0.01,0.0,0.0,0.0,93.701,0.257,0.0,0.0,0.001,0.00015,0.0,0.0,0.001,0.006,8e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00381,,0.000247,0.0,884
"BEEF,SHRT LN,T-BN STK,BN-IN,LN,1/8"" FAT,ALL GRDS,CKD,GRILLED",61.15,27.86,10.37,1.05,0.0,0.0,0.0,4.219,4.609,0.542,1.7999999999999997e-05,0.018,0.00357,0.021,0.219,0.29,0.067,0.00461,7.3e-05,4e-06,0.000293,0.0,5.8e-05,0.000254,0.006109,0.000323,0.000757,7e-05,0.0,7e-05,0.0632,1.96e-05,2e-05,0.0,0.0,0.0,0.0,0.0,0.00023,1e-06,1.5e-05,0.082,212
